Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,1,12233,0,6719,107,5060,0,0,676,4445,
1,2,12234,0,6823,82,5033,0,0,723,4413,
1,3,12235,0,6752,88,5074,0,0,740,4409,
1,4,12236,0,6744,116,5065,0,0,675,4452,
1,5,12237,0,6886,103,4974,0,0,683,4252,
1,6,12238,0,6788,92,5006,0,0,686,4265,
1,7,12239,0,6750,114,5056,0,0,647,4367,
1,8,12240,0,6642,105,5051,0,0,699,4453,
1,9,12241,0,6778,102,5031,0,0,688,4376,
1,10,12242,0,6564,98,4917,0,0,685,4314,
1,1,12243,0,6719,107,5060,0,0,676,4445,
1,2,12244,0,6823,82,5033,0,0,723,4413,
1,3,12245,0,6752,88,5074,0,0,740,4409,
1,4,12246,0,6744,116,5065,0,0,675,4452,
1,5,12247,0,6886,103,4974,0,0,683,4252,
1,6,12248,0,6788,92,5006,0,0,686,4265,
1,7,12249,0,6750,114,5056,0,0,647,4367,
1,8,12250,0,6642,105,5051,0,0,699,4453,
1,9,12251,0,6778,102,5031,0,0,688,4376,
1,10,12252,0,6564,98,4917,0,0,685,4314,
1,1,12253,0,6719,107,5060,0,0,676,4445,
1,2,12254,0,6823,82,5033,0,0,723,4413,
1,3,12255,0,6752,88,5074,0,0,740,4409,
1,4,12256,0,6744,116,5065,0,0,675,4452,
1,5,12257,0,6886,103,4974,0,0,683,4252,
1,6,12258,0,6788,92,5006,0,0,686,4265,
1,7,12259,0,6750,114,5056,0,0,647,4367,
1,8,12260,0,6642,105,5051,0,0,699,4453,
1,9,12261,0,6778,102,5031,0,0,688,4376,
1,10,12262,0,6564,98,4917,0,0,685,4314,
1,1,12263,0,6719,107,5060,0,0,676,4445,
1,2,12264,0,6823,82,5033,0,0,723,4413,
1,3,12265,0,6752,88,5074,0,0,740,4409,
1,4,12266,0,6744,116,5065,0,0,675,4452,
1,5,12267,0,6886,103,4974,0,0,683,4252,
1,6,12268,0,6788,92,5006,0,0,686,4265,
1,7,12269,0,6750,114,5056,0,0,647,4367,
1,8,12270,0,6642,105,5051,0,0,699,4453,
1,9,12271,0,6778,102,5031,0,0,688,4376,
1,10,12272,0,6564,98,4917,0,0,685,4314,
1,1,12273,0,6719,107,5060,0,0,676,4445,
1,2,12274,0,6823,82,5033,0,0,723,4413,
1,3,12275,0,6752,88,5074,0,0,740,4409,
1,4,12276,0,6744,116,5065,0,0,675,4452,
1,5,12277,0,6886,103,4974,0,0,683,4252,
1,6,12278,0,6788,92,5006,0,0,686,4265,
1,7,12279,0,6750,114,5056,0,0,647,4367,
1,8,12280,0,6642,105,5051,0,0,699,4453,
1,9,12281,0,6778,102,5031,0,0,688,4376,
1,10,12282,0,6564,98,4917,0,0,685,4314,
1,1,12283,0,6719,107,5060,0,0,676,4445,
1,2,12284,0,6823,82,5033,0,0,723,4413,
1,3,12285,0,6752,88,5074,0,0,740,4409,
1,4,12286,0,6744,116,5065,0,0,675,4452,
1,5,12287,0,6886,103,4974,0,0,683,4252,
1,6,12288,0,6788,92,5006,0,0,686,4265,
1,7,12289,0,6750,114,5056,0,0,647,4367,
1,8,12290,0,6642,105,5051,0,0,699,4453,
1,9,12291,0,6778,102,5031,0,0,688,4376,
1,10,12292,0,6564,98,4917,0,0,685,4314,
1,1,12293,0,6719,107,5060,0,0,676,4445,
1,2,12294,0,6823,82,5033,0,0,723,4413,
1,3,12295,0,6752,88,5074,0,0,740,4409,
1,4,12296,0,6744,116,5065,0,0,675,4452,
1,5,12297,0,6886,103,4974,0,0,683,4252,
1,6,12298,0,6788,92,5006,0,0,686,4265,
1,7,12299,0,6750,114,5056,0,0,647,4367,
1,8,12300,0,6642,105,5051,0,0,699,4453,
1,9,12301,0,6778,102,5031,0,0,688,4376,
1,10,12302,0,6564,98,4917,0,0,685,4314,
1,1,12303,0,6719,107,5060,0,0,676,4445,
1,2,12304,0,6823,82,5033,0,0,723,4413,
1,3,12305,0,6752,88,5074,0,0,740,4409,
1,4,12306,0,6744,116,5065,0,0,675,4452,
1,5,12307,0,6886,103,4974,0,0,683,4252,
1,6,12308,0,6788,92,5006,0,0,686,4265,
1,7,12309,0,6750,114,5056,0,0,647,4367,
1,8,12310,0,6642,105,5051,0,0,699,4453,
1,9,12311,0,6778,102,5031,0,0,688,4376,
1,10,12312,0,6564,98,4917,0,0,685,4314,
1,1,12313,0,6719,107,5060,0,0,676,4445,
1,2,12314,0,6823,82,5033,0,0,723,4413,
1,3,12315,0,6752,88,5074,0,0,740,4409,
1,4,12316,0,6744,116,5065,0,0,675,4452,
1,5,12317,0,6886,103,4974,0,0,683,4252,
1,6,12318,0,6788,92,5006,0,0,686,4265,
1,7,12319,0,6750,114,5056,0,0,647,4367,
1,8,12320,0,6642,105,5051,0,0,699,4453,
1,9,12321,0,6778,102,5031,0,0,688,4376,
1,10,12322,0,6564,98,4917,0,0,685,4314,
1,1,12323,0,6719,107,5060,0,0,676,4445,
1,2,12324,0,6823,82,5033,0,0,723,4413,
1,3,12325,0,6752,88,5074,0,0,740,4409,
1,4,12326,0,6744,116,5065,0,0,675,4452,
1,5,12327,0,6886,103,4974,0,0,683,4252,
1,6,12328,0,6788,92,5006,0,0,686,4265,
1,7,12329,0,6750,114,5056,0,0,647,4367,
1,8,12330,0,6642,105,5051,0,0,699,4453,
1,9,12331,0,6778,102,5031,0,0,688,4376,
1,10,12332,0,6564,98,4917,0,0,685,4314,
1,1,12333,0,6719,107,5060,0,0,676,4445,
1,2,12334,0,6823,82,5033,0,0,723,4413,
1,3,12335,0,6752,88,5074,0,0,740,4409,
1,4,12336,0,6744,116,5065,0,0,675,4452,
1,5,12337,0,6886,103,4974,0,0,683,4252,
1,6,12338,0,6788,92,5006,0,0,686,4265,
1,7,12339,0,6750,114,5056,0,0,647,4367,
1,8,12340,0,6642,105,5051,0,0,699,4453,
1,9,12341,0,6778,102,5031,0,0,688,4376,
1,10,12342,0,6564,98,4917,0,0,685,4314,
1,1,12343,0,6719,107,5060,0,0,676,4445,
1,2,12344,0,6823,82,5033,0,0,723,4413,
1,3,12345,0,6752,88,5074,0,0,740,4409,
1,4,12346,0,6744,116,5065,0,0,675,4452,
1,5,12347,0,6886,103,4974,0,0,683,4252,
1,6,12348,0,6788,92,5006,0,0,686,4265,
1,7,12349,0,6750,114,5056,0,0,647,4367,
1,8,12350,0,6642,105,5051,0,0,699,4453,
1,9,12351,0,6778,102,5031,0,0,688,4376,
1,10,12352,0,6564,98,4917,0,0,685,4314,
1,1,12353,0,6719,107,5060,0,0,676,4445,
1,2,12354,0,6823,82,5033,0,0,723,4413,
1,3,12355,0,6752,88,5074,0,0,740,4409,
1,4,12356,0,6744,116,5065,0,0,675,4452,
1,5,12357,0,6886,103,4974,0,0,683,4252,
1,6,12358,0,6788,92,5006,0,0,686,4265,
1,7,12359,0,6750,114,5056,0,0,647,4367,
1,8,12360,0,6642,105,5051,0,0,699,4453,
1,9,12361,0,6778,102,5031,0,0,688,4376,
1,10,12362,0,6564,98,4917,0,0,685,4314,
1,1,12363,0,6719,107,5060,0,0,676,4445,
1,2,12364,0,6823,82,5033,0,0,723,4413,
1,3,12365,0,6752,88,5074,0,0,740,4409,
1,4,12366,0,6744,116,5065,0,0,675,4452,
1,5,12367,0,6886,103,4974,0,0,683,4252,
1,6,12368,0,6788,92,5006,0,0,686,4265,
1,7,12369,0,6750,114,5056,0,0,647,4367,
1,8,12370,0,6642,105,5051,0,0,699,4453,
1,9,12371,0,6778,102,5031,0,0,688,4376,
1,10,12372,0,6564,98,4917,0,0,685,4314,
1,1,12373,0,6719,107,5060,0,0,676,4445,
1,2,12374,0,6823,82,5033,0,0,723,4413,
1,3,12375,0,6752,88,5074,0,0,740,4409,
1,4,12376,0,6744,116,5065,0,0,675,4452,
1,5,12377,0,6886,103,4974,0,0,683,4252,
1,6,12378,0,6788,92,5006,0,0,686,4265,
1,7,12379,0,6750,114,5056,0,0,647,4367,
1,8,12380,0,6642,105,5051,0,0,699,4453,
1,9,12381,0,6778,102,5031,0,0,688,4376,
1,10,12382,0,6564,98,4917,0,0,685,4314,
1,1,12383,0,6719,107,5060,0,0,676,4445,
1,2,12384,0,6823,82,5033,0,0,723,4413,
1,3,12385,0,6752,88,5074,0,0,740,4409,
1,4,12386,0,6744,116,5065,0,0,675,4452,
1,5,12387,0,6886,103,4974,0,0,683,4252,
1,6,12388,0,6788,92,5006,0,0,686,4265,
1,7,12389,0,6750,114,5056,0,0,647,4367,
1,8,12390,0,6642,105,5051,0,0,699,4453,
1,9,12391,0,6778,102,5031,0,0,688,4376,
1,10,12392,0,6564,98,4917,0,0,685,4314,
1,1,12393,0,6719,107,5060,0,0,676,4445,
1,2,12394,0,6823,82,5033,0,0,723,4413,
1,3,12395,0,6752,88,5074,0,0,740,4409,
1,4,12396,0,6744,116,5065,0,0,675,4452,
1,5,12397,0,6886,103,4974,0,0,683,4252,
1,6,12398,0,6788,92,5006,0,0,686,4265,
1,7,12399,0,6750,114,5056,0,0,647,4367,
1,8,12400,0,6642,105,5051,0,0,699,4453,
1,9,12401,0,6778,102,5031,0,0,688,4376,
1,10,12402,0,6564,98,4917,0,0,685,4314,
1,1,12403,0,6719,107,5060,0,0,676,4445,
1,2,12404,0,6823,82,5033,0,0,723,4413,
1,3,12405,0,6752,88,5074,0,0,740,4409,
1,4,12406,0,6744,116,5065,0,0,675,4452,
1,5,12407,0,6886,103,4974,0,0,683,4252,
1,6,12408,0,6788,92,5006,0,0,686,4265,
1,7,12409,0,6750,114,5056,0,0,647,4367,
1,8,12410,0,6642,105,5051,0,0,699,4453,
1,9,12411,0,6778,102,5031,0,0,688,4376,
1,10,12412,0,6564,98,4917,0,0,685,4314,
1,1,12413,0,6719,107,5060,0,0,676,4445,
1,2,12414,0,6823,82,5033,0,0,723,4413,
1,3,12415,0,6752,88,5074,0,0,740,4409,
1,4,12416,0,6744,116,5065,0,0,675,4452,
1,5,12417,0,6886,103,4974,0,0,683,4252,
1,6,12418,0,6788,92,5006,0,0,686,4265,
1,7,12419,0,6750,114,5056,0,0,647,4367,
1,8,12420,0,6642,105,5051,0,0,699,4453,
1,9,12421,0,6778,102,5031,0,0,688,4376,
1,10,12422,0,6564,98,4917,0,0,685,4314,
1,1,12423,0,6719,107,5060,0,0,676,4445,
1,2,12424,0,6823,82,5033,0,0,723,4413,
1,3,12425,0,6752,88,5074,0,0,740,4409,
1,4,12426,0,6744,116,5065,0,0,675,4452,
1,5,12427,0,6886,103,4974,0,0,683,4252,
1,6,12428,0,6788,92,5006,0,0,686,4265,
1,7,12429,0,6750,114,5056,0,0,647,4367,
1,8,12430,0,6642,105,5051,0,0,699,4453,
1,9,12431,0,6778,102,5031,0,0,688,4376,
1,10,12432,0,6564,98,4917,0,0,685,4314,
1,1,12433,0,6719,107,5060,0,0,676,4445,
1,2,12434,0,6823,82,5033,0,0,723,4413,
1,3,12435,0,6752,88,5074,0,0,740,4409,
1,4,12436,0,6744,116,5065,0,0,675,4452,
1,5,12437,0,6886,103,4974,0,0,683,4252,
1,6,12438,0,6788,92,5006,0,0,686,4265,
1,7,12439,0,6750,114,5056,0,0,647,4367,
1,8,12440,0,6642,105,5051,0,0,699,4453,
1,9,12441,0,6778,102,5031,0,0,688,4376,
1,10,12442,0,6564,98,4917,0,0,685,4314,
1,1,12443,0,6719,107,5060,0,0,676,4445,
1,2,12444,0,6823,82,5033,0,0,723,4413,
1,3,12445,0,6752,88,5074,0,0,740,4409,
1,4,12446,0,6744,116,5065,0,0,675,4452,
1,5,12447,0,6886,103,4974,0,0,683,4252,
1,6,12448,0,6788,92,5006,0,0,686,4265,
1,7,12449,0,6750,114,5056,0,0,647,4367,
1,8,12450,0,6642,105,5051,0,0,699,4453,
1,9,12451,0,6778,102,5031,0,0,688,4376,
